ID,Name,Damage,ManaCost,Cooldown,Type,Bubble,Speed,MeleeRange,MeleeArc
221,FireBall,30,15,1.5,Projectile,None,18,0,0
222,IceBlast,25,20,2.0,Projectile,Red,14,0,0
223,ThunderBolt,45,35,4.0,Projectile,None,20,0,0
224,DarkBolt,35,25,3.0,Projectile,None,16,0,0
225,Holy,30,22,2.5,Projectile,None,15,0,0
226,Acid,25,20,2.0,Projectile,None,12,0,0
227,TimeWarp,0,30,10,InstantArea,None,0,0,0
231,FireOrb,40,30,3.0,Projectile,None,15,0,0
232,FireRing,35,28,3.5,Projectile,None,14,0,0
233,ElectricRing,35,28,3.5,Projectile,None,14,0,0
234,Vortex,45,35,4.0,Projectile,None,12,0,0
235,LightStreak,30,22,2.5,Projectile,None,18,0,0
236,WavyBolt,30,25,2.8,Projectile,None,16,0,0
237,Charge,25,20,2.0,Projectile,None,12,0,0
238,BloodBolt,35,28,3.2,Projectile,None,15,0,0
